object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of nuclei,Probability of not leaf,Convex Hull Center_0,Convex Hull Center_1,Convex Hull Center_2,Skewness of Defect Area,Mean Defect Displacement,Kurtosis of Defect Area,Object Area,Defect Center_0,Defect Center_1,Defect Center_2,Object Center_0,Object Center_1,Object Center_2,Convexity,Number of Defects,Convex Hull Area,Variance of Defect Area,Mean Defect Area,Bounding Box Minimum_0,Bounding Box Minimum_1,Bounding Box Minimum_2,Variance of Intensity_0,Variance of Intensity_1,Covariance of Channel Intensity_0,Covariance of Channel Intensity_1,Covariance of Channel Intensity_2,Covariance of Channel Intensity_3,Size in pixels,Total Intensity_0,Total Intensity_1,Kurtosis of Intensity_0,Kurtosis of Intensity_1,PrincipalAxes_0,PrincipalAxes_1,PrincipalAxes_2,PrincipalAxes_3,Radii of the object_0,Radii of the object_1,Radii of the object_2,Mean Intensity_0,Mean Intensity_1,Bounding Box Maximum_0,Bounding Box Maximum_1,Bounding Box Maximum_2,Center of the object_0,Center of the object_1,Center of the object_2,Minimum intensity_0,Minimum intensity_1,Maximum intensity_0,Maximum intensity_1,Principal components of the object_0,Principal components of the object_1,Principal components of the object_2,Principal components of the object_3,Principal components of the object_4,Principal components of the object_5,Principal components of the object_6,Principal components of the object_7,Principal components of the object_8,Skewness of Intensity_0,Skewness of Intensity_1,Variance of Intensity in neighborhood_0,Variance of Intensity in neighborhood_1,Covariance of Channel Intensity in neighborhood_0,Covariance of Channel Intensity in neighborhood_1,Covariance of Channel Intensity in neighborhood_2,Covariance of Channel Intensity in neighborhood_3,Total Intensity in neighborhood_0,Total Intensity in neighborhood_1,Mean Intensity in neighborhood_0,Mean Intensity in neighborhood_1,Minimum intensity in neighborhood_0,Minimum intensity in neighborhood_1,Maximum intensity in neighborhood_0,Maximum intensity in neighborhood_1,Skewness of Intensity in neighborhood_0,Skewness of Intensity in neighborhood_1,Kurtosis of Intensity in neighborhood_0,Kurtosis of Intensity in neighborhood_1
80,0,81,0,not leaf,0.29,0.71,974.5,686.0,74.0,0.0,0.62556005,0.0,388.0,974.40594,686.03467,73.710396,974.59796,685.9639,74.301544,0.48989898,1.0,792.0,0.0,404.0,971.0,682.0,69.0,25.435541,62.137024,25.435541,1.2007918,1.2007918,62.137024,388.0,2136.0,3510.0,9.656036,3.081212,0.032665413,-0.99946636,0.99946636,0.032665413,2.3958595,2.0320723,1.7104453,5.5051546,9.0463915,979.0,691.0,80.0,974.59796,685.9639,74.301544,0.0,2.0,42.0,49.0,0.11284275,-0.56716067,-0.81584024,-0.05116052,0.816679,-0.57482,0.99229485,0.106603086,0.06314007,2.096278,1.5315211,1.1396605,53.17813,1.1396605,-0.03580607,-0.03580607,53.17813,9370.0,297975.0,0.25492436,8.10684,0.0,2.0,22.0,57.0,5.9031196,1.5824853,50.69123,2.908263
81,0,82,0,not leaf,0.26,0.74,931.5,688.0,75.0,0.0,1.0258782,0.0,365.0,931.55164,687.9212,74.611206,931.4192,688.1233,75.60822,0.38995728,1.0,936.0,0.0,571.0,928.0,684.0,69.0,22.428148,39.7529,22.428148,-1.3056859,-1.3056859,39.7529,365.0,2095.0,2645.0,1.9154391,1.0657662,-0.074732505,-0.9972036,0.9972036,-0.074732505,2.9886742,1.7394692,1.5301983,5.739726,7.2465754,936.0,693.0,82.0,931.4192,688.1233,75.60822,0.0,2.0,29.0,31.0,0.15250257,0.85428655,-0.49692804,-0.2637428,0.51975334,0.8125861,0.95246136,0.0071397293,0.30457565,1.169791,1.2543286,1.5486866,48.647617,1.5486866,-0.08892377,-0.08892377,48.647617,14307.0,320922.0,0.33523127,7.519612,0.0,2.0,26.0,79.0,5.3321385,1.7062387,42.362045,3.6860757
82,0,83,0,nuclei,0.72,0.28,559.5,206.0,73.0,0.0,0.53899866,0.0,311.0,559.36707,206.08646,73.08809,559.7621,205.82957,72.82637,0.3365801,1.0,924.0,0.0,613.0,554.0,201.0,70.0,31.26502,62.47973,31.26502,-0.19560385,-0.19560385,62.47973,311.0,1635.0,3156.0,5.355246,0.58325183,-0.0062660305,-0.9999804,0.9999804,-0.0062660305,2.8240054,2.0787745,1.3618973,5.2572346,10.14791,566.0,212.0,77.0,559.7621,205.82957,72.82637,0.0,2.0,38.0,42.0,0.97027236,0.22154371,0.097416505,0.21770066,-0.97480553,0.04858626,-0.10572613,0.025934268,0.99405706,1.8874319,1.0009675,2.6504128,104.82834,2.6504128,0.11510731,0.11510731,104.82834,14590.0,319333.0,0.5923911,12.965732,0.0,2.0,32.0,82.0,4.7844357,1.2762734,43.04788,1.9695587
83,0,84,0,nuclei,0.61,0.39,303.5,876.0,75.0,0.0,1.0833426,0.0,230.0,303.835,875.99,74.79,302.9174,876.0174,75.36522,0.36507937,1.0,630.0,0.0,400.0,299.0,873.0,71.0,41.362118,201.06361,41.362118,16.754253,16.754253,201.06361,230.0,1318.0,4995.0,6.256741,1.371111,0.10322551,-0.994658,0.994658,0.10322551,2.1430705,1.7914895,1.3289092,5.730435,21.717392,309.0,880.0,80.0,302.9174,876.0174,75.36522,0.0,2.0,38.0,80.0,0.536198,-0.8401328,-0.08166194,0.15562858,0.0033104809,0.9878101,0.82962126,0.54237074,-0.13252373,2.1910577,1.0251398,2.0146847,212.98288,2.0146847,-0.6316188,-0.6316188,212.98288,12439.0,608480.0,0.42277887,20.681124,0.0,2.0,29.0,151.0,5.350702,1.3103321,47.058456,2.9687195
84,0,85,0,not leaf,0.21,0.79,215.0,124.0,81.5,0.0,0.6644605,0.0,692.0,215.14099,123.72977,81.58094,214.84393,124.29913,81.41041,0.47462276,1.0,1458.0,0.0,766.0,211.0,120.0,73.0,61.222366,142.13263,61.222366,7.3536973,7.3536973,142.13263,692.0,4981.0,13523.0,2.803434,0.7719445,0.08978437,-0.99596125,0.99596125,0.08978437,4.076274,2.1628842,1.7287809,7.197977,19.541908,220.0,129.0,91.0,214.84393,124.29913,81.41041,0.0,2.0,48.0,68.0,0.036119714,0.64521015,-0.7631509,-0.07888741,-0.7594253,-0.6457941,0.99622893,-0.08352889,-0.023468735,1.5868902,0.86000407,2.1205335,175.68315,2.1205335,-0.30251572,-0.30251572,175.68315,22499.0,1247887.0,0.3703539,20.54135,0.0,2.0,38.0,99.0,7.31138,0.9726239,91.660774,1.1466609
85,0,86,0,not leaf,0.34,0.66,901.0,604.5,80.5,0.0,0.8197437,0.0,195.0,900.81433,604.2194,80.65401,901.22565,604.841,80.31282,0.4513889,1.0,432.0,0.0,237.0,897.0,602.0,77.0,26.779856,51.77173,26.779856,-1.2235371,-1.2235371,51.77173,195.0,1084.0,1375.0,2.599822,5.1306205,-0.048782468,-0.9988094,0.9988094,-0.048782468,2.0350552,1.654997,1.2452391,5.5589743,7.051282,906.0,608.0,85.0,901.22565,604.841,80.31282,0.0,2.0,26.0,42.0,-0.9762078,0.098392054,-0.19322881,0.17143135,-0.19545822,-0.9656124,-0.13277675,-0.97576386,0.17394035,1.4387274,2.162605,2.299148,39.905323,2.299148,0.06765173,0.06765173,39.905323,12447.0,171219.0,0.47810555,6.576746,0.0,2.0,22.0,63.0,4.629511,1.85865,30.401573,4.2123756
86,0,87,0,not leaf,0.3,0.7,229.5,115.5,81.5,0.0,0.5951042,0.0,114.0,229.38506,115.59196,81.68391,229.67545,115.35965,81.2193,0.39583334,1.0,288.0,0.0,174.0,227.0,113.0,78.0,33.62673,127.441055,33.62673,-13.894275,-13.894275,127.441055,114.0,831.0,2380.0,0.2711528,-0.30258805,-0.1434901,-0.98965174,0.98965174,-0.1434901,1.5976475,1.2816427,1.2086073,7.2894735,20.877193,233.0,119.0,86.0,229.67545,115.35965,81.2193,0.0,2.0,28.0,53.0,0.31063098,0.8350688,-0.45405778,-0.22744015,-0.39851424,-0.88851416,0.9229189,-0.379271,-0.0661373,0.80384624,0.44338134,3.6745174,188.58623,3.6745174,-0.6128248,-0.6128248,188.58623,10402.0,513918.0,0.41946933,20.72417,0.0,2.0,38.0,105.0,8.693977,1.0618346,106.16989,1.4512503
87,0,88,0,nuclei,0.76,0.24,527.5,221.0,84.0,0.0,0.4935316,0.0,241.0,527.289,221.09125,83.94677,527.7303,220.90042,84.05809,0.4781746,1.0,504.0,0.0,263.0,524.0,218.0,80.0,33.985504,86.13554,33.985504,-2.640106,-2.640106,86.13554,241.0,1305.0,2883.0,4.3643084,2.2765877,-0.050431862,-0.9987275,0.9987275,-0.050431862,1.9976635,1.6998124,1.5273175,5.414938,11.962656,532.0,225.0,89.0,527.7303,220.90042,84.05809,0.0,2.0,35.0,51.0,0.30281666,0.8575141,0.41589865,0.0036897066,0.43532947,-0.90026367,0.9530417,-0.27414936,-0.12866104,1.8263937,1.4101592,1.7994254,96.16791,1.7994254,-0.2482021,-0.2482021,96.16791,13228.0,363081.0,0.44990137,12.348854,0.0,2.0,25.0,79.0,4.205216,1.2791747,28.933167,1.9706174
88,0,89,not leaf,not leaf,0.21,0.79,235.0,114.5,86.0,0.0,0.73018044,0.0,346.0,235.00897,114.6435,86.28475,234.98843,114.315025,85.63295,0.4368687,1.0,792.0,0.0,446.0,231.0,111.0,81.0,57.743767,147.31355,57.743767,-7.481548,-7.481548,147.31355,346.0,2269.0,6749.0,2.9987557,0.18519308,-0.08266888,-0.9965771,0.9965771,-0.08266888,2.3519907,1.9724224,1.6046183,6.5578036,19.505781,240.0,119.0,92.0,234.98843,114.315025,85.63295,0.0,2.0,38.0,62.0,-0.5814727,-0.81334406,-0.018998763,-0.08372164,0.03659282,0.99581707,0.80924666,-0.580631,0.089372225,1.6809807,0.76662725,2.271415,199.11334,2.271415,-0.42635494,-0.42635494,199.11334,11508.0,772848.0,0.31705973,21.292925,0.0,2.0,38.0,117.0,8.5717945,1.0871296,109.748665,1.6070067
89,0,90,0,nuclei,0.8,0.2,598.5,207.0,85.0,0.0,0.91622716,0.0,175.0,598.29956,206.65437,84.912445,598.7486,207.42857,85.108574,0.44642857,1.0,392.0,0.0,217.0,595.0,204.0,82.0,39.32297,82.56999,39.32297,0.83954287,0.83954287,82.56999,175.0,1078.0,2138.0,1.8705612,0.6703824,0.01940177,-0.99981177,0.99981177,0.01940177,1.7970268,1.6315541,1.2867645,6.16,12.217143,603.0,211.0,89.0,598.7486,207.42857,85.108574,0.0,2.0,29.0,42.0,0.50514734,-0.86223644,0.03707379,0.53093797,0.27661327,-0.80099314,-0.68039036,-0.42430344,-0.5975245,1.4755094,1.0093465,4.6481757,120.04283,4.6481757,-1.663585,-1.663585,120.04283,18391.0,324030.0,0.80655205,14.210595,0.0,2.0,51.0,84.0,5.8863664,1.2395622,68.510994,1.9586874
